Wavelength,Flux
1290.11, 1.10800
1290.20, 1.01834
1290.29, 1.00718
1290.38, 1.07921
1290.47, 1.08836
1290.56, 1.03919
1290.65, 1.00093
1290.74, 1.03212
1290.83, 1.11605
1290.92, 1.18982
1291.01, 1.12117
1291.10, 1.08400
1291.19, 1.06182
1291.28, 1.12629
1291.37, 1.01856
1291.46, 1.09957
1291.55, 1.00063
1291.64, 1.03899
1291.73, 1.02830
1291.82, 1.00338
1291.92, 0.969741
1292.01, 0.995735
1292.10, 0.966651
1292.19, 1.06828
1292.28, 1.00519
1292.37, 1.09797
1292.46, 1.03247
1292.55, 1.04973
1292.64, 1.03667
1292.73, 1.08986
1292.82, 1.05333
1292.91, 1.10686
1293.00, 1.13707
1293.09, 1.07293
1293.18, 1.12654
1293.27, 1.08399
1293.36, 1.04244
1293.45, 1.07790
1293.54, 1.01117
1293.63, 1.02362
1293.72, 1.01897
1293.81, 1.09673
1293.90, 1.01825
1293.99, 1.03831
1294.08, 1.00460
1294.17, 0.980343
1294.26, 0.990595
1294.35, 0.956831
1294.44, 1.07170
1294.53, 1.14565
1294.62, 1.03869
1294.72, 0.934523
1294.81, 0.933034
1294.90, 0.840700
1294.99, 0.942833
1295.08, 1.01056
1295.17, 0.986196
1295.26, 1.00207
1295.35, 0.972300
1295.44, 0.911342
1295.53, 1.00487
1295.62, 0.992782
1295.71, 0.982136
1295.80, 1.02526
1295.89, 1.08892
1295.98, 1.05777
1296.07, 1.04858
1296.16, 0.996813
1296.25, 1.09661
1296.34, 1.01482
1296.43, 0.908716
1296.52, 0.870611
1296.61, 0.849030
1296.70, 0.848764
1296.79, 0.857338
1296.88, 0.782146
1296.97, 0.813187
1297.06, 0.830533
1297.15, 0.953727
1297.24, 0.945869
1297.33, 0.974573
1297.42, 0.996029
1297.51, 1.01350
1297.61, 1.01376
1297.70, 1.09144
1297.79, 0.973891
1297.88, 1.06288
1297.97, 1.03695
1298.06, 1.00121
1298.15, 0.929948
1298.24, 0.872363
1298.33, 0.928858
1298.42, 0.924210
1298.51, 0.867890
1298.60, 0.869000
1298.69, 0.827728
1298.78, 0.845660
1298.83, 0.842142
1298.93, 0.797115
1299.03, 0.823586
1299.12, 0.863223
1299.22, 0.798485
1299.32, 0.825672
1299.42, 0.922515
1299.52, 0.818263
1299.61, 0.848298
1299.71, 0.870766
1299.81, 0.968790
1299.91, 0.981582
1300.01, 0.895895
1300.10, 1.01995
1300.20, 0.924595
1300.30, 0.914492
1300.40, 0.853954
1300.49, 0.631769
1300.59, 0.464379
1300.69, 0.337116
1300.79, 0.281155
1300.89, 0.278474
1300.98, 0.172332
1301.08, 0.271816
1301.18, 0.275791
1301.28, 0.203912
1301.37, 0.302937
1301.47, 0.205294
1301.57, 0.338495
1301.67, 0.208472
1301.77, 0.378041
1301.86, 0.418939
1301.96, 0.440070
1302.06, 0.503991
1302.16, 0.551106
1302.25, 0.580358
1302.35, 0.618881
1302.45, 0.672402
1302.55, 0.665750
1302.65, 0.680275
1302.74, 0.637179
1302.84, 0.490671
1302.94, 0.458335
1303.04, 0.367115
1303.13, 0.432813
1303.23, 0.377986
1303.33, 0.382652
1303.43, 0.416252
1303.53, 0.438238
1303.62, 0.317947
1303.72, 0.276502
1303.82, 0.277545
1303.92, 0.353433
1304.01, 0.355177
1304.11, 0.343595
1304.21, 0.463044
1304.31, 0.482701
1304.41, 0.547439
1304.50, 0.630694
1304.60, 0.756406
1304.70, 0.839602
1304.80, 0.901638
1304.89, 0.993756
1304.99, 1.02325
1305.09, 1.13042
1305.19, 1.03617
1305.29, 1.03685
1305.38, 0.976193
1305.48, 1.06464
1305.58, 0.911142
1305.68, 0.988317
1305.77, 0.931004
1305.87, 0.919577
1305.97, 1.12566
1306.07, 1.08272
1306.17, 1.06129
1306.26, 1.03183
1306.36, 1.04925
1306.46, 1.10433
1306.56, 1.08680
1306.65, 1.06216
1306.75, 1.07313
1306.85, 1.08073
1306.95, 1.20259
1307.05, 1.06069
1307.14, 1.13086
1307.24, 1.11653
1307.34, 1.09253
1307.44, 1.15088
1307.53, 1.06852
1307.63, 1.08664
1307.73, 0.993439
1307.83, 0.972146
1307.93, 1.03121
1308.02, 1.07579
1308.12, 0.960364
1308.22, 1.08074
1308.32, 1.04686
1308.41, 1.04327
1308.51, 1.02510
1308.61, 1.10249
1308.71, 1.00910
1308.81, 1.06074
1308.90, 1.02958
1309.00, 1.04579
1309.10, 1.06246
1309.20, 1.07489
1309.30, 1.03993
1309.39, 1.05580
1309.49, 1.02209
1309.59, 1.13357
1309.69, 1.07374
1309.78, 1.08712
1309.88, 1.05036
1309.98, 1.13669
1310.08, 1.10432
1310.18, 0.946013
1310.27, 0.994969
1310.37, 0.912994
1310.47, 0.928202
1310.57, 0.897611
1310.66, 0.914408
1310.76, 0.970859
1310.86, 0.976047
1310.96, 0.955867
1311.06, 0.991609
1311.15, 1.20405
1311.25, 1.04353
1311.35, 1.12661
1311.45, 1.03142
1311.54, 1.02262
1311.64, 1.09868
1311.74, 1.16215
1311.84, 1.14159
1311.94, 1.08142
1312.03, 1.02211
1312.13, 1.04433
1312.23, 1.11563
1312.33, 1.05688
1312.42, 1.00365
1312.52, 0.983692
1312.62, 0.996891
1312.72, 1.05430
1312.82, 1.08334
1312.91, 1.03163
1313.01, 1.09064
1313.11, 1.00801
1313.21, 1.04991
1313.30, 1.02668
1313.40, 0.988533
1313.50, 1.01222
1313.60, 0.983460
1313.70, 1.03672
1313.79, 1.04114
1313.89, 1.09989
1313.99, 1.07817
1314.09, 1.03301
1314.18, 1.10581
1314.28, 1.04173
1314.38, 1.06571
1314.48, 0.972462
1314.58, 1.05336
1314.67, 1.02387
1314.77, 1.08911
1314.87, 1.06922
1314.97, 1.05749
1315.06, 1.01453
1315.16, 1.07401
1315.26, 1.05235
1315.36, 1.04609
1315.46, 1.01280
1315.55, 1.05810
1315.65, 1.07544
1315.75, 1.07748
1315.85, 1.11784
1315.94, 1.00919
1316.04, 1.02222
1316.14, 1.01407
1316.24, 0.979237
1316.34, 1.04291
1316.43, 0.953792
1316.53, 1.01645
1316.63, 1.19689
1316.73, 1.26481
1316.82, 1.12066
1316.92, 1.22779
1317.02, -1.27077e+28
1317.12, -1.27001e+28
1317.22, 0.551780
1317.31, 0.684887
1317.41, 1.00747
1317.51, 0.858480
1317.61, 0.963326
1317.70, 1.17074
1317.80, 1.14846
1317.90, 1.04394
1318.00, 1.02524
1318.10, 1.03222
1318.19, 1.10614
1318.29, 1.12998
1318.39, 1.08922
