Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
T10_v1500_chi10000_cond, 11.833, 100.265, 12580.858, 1.50032224049e+17, 2832638464.0, 1.50032221094e+17, 1.10815954577, 15.7583249252, 3.32495448951e-08, 6.47511966883e+15, 35104381.6681
T10_v1500_chi10000_cond, 15.256, 73.157, 10527.292, 3.00985711045e+17, 3528704512.0, 3.00985711033e+17, 4.62180963135, 18.9990626571, 4.20402823931e-06, 5.76411361339e+15, 603653.064346
T1_v480_chi1000_cond, 3.848, 224.58, 9774.408, 2.16720662368e+17, 2670383680.0, 2.16720656585e+17, 1.11655622666, 12.1937796083, 1.69113767434e-08, 9.30751583714e+15, 52052962.608
T1_v480_chi1000_cond, 6.895, 497.92, 7629.837, 1.37590894331e+17, 1706192928.0, 1.37590894298e+17, 0.987094672732, 15.7669883654, 2.49489375825e-08, 6.40432558014e+15, 62585923.8369
T1_v480_chi1000_cond, 7.166, 503.55, 7795.612, 1.27030735897e+17, 1171249296.0, 1.27030735828e+17, 1.56659796354, 16.6424052775, 2.67768824891e-08, 4.39728147347e+15, 53097449.0928
T1_v480_chi1000_cond, 10.741, 191.029, 7197.121, 2.71685143786e+16, 2048101320.0, 2.71685141908e+16, 0.470085921468, 19.8853201443, 6.62398214057e-09, 2.07328521295e+15, 894417.5
T0.3_v1700_chi300, 128.158, 1427.92, 13727.281, 1.29495442408e+17, 1203985376.0, 1.29495442323e+17, 1.02387900814, 28.8817258852, 1.93676945592e-08, 5.88469547188e+15, 28943250.1929
T0.3_v1700_chi300, 166.759, 1350.117, 13411.287, 1.30016484391e+17, 971769216.0, 1.30016484391e+17, 1.17700413495, 26.6906868043, 1.60101951696e-08, 5.39635494141e+15, 31546944.4627
T0.3_v1700_chi300, 154.339, 1374.064, 12237.471, 7.05433131721e+16, 8224396632.0, 7.05433131334e+16, 0.587592509792, 24.8781163617, 2.56724569381e-08, 4.63617180622e+15, 30973005.0
T0.3_v1700_chi300, 239.721, 1292.117, 17616.808, 2.63094324411e+16, 3471998764.0, 2.63094323619e+16, 0.344900269196, 23.7981469347, 3.93200566551e-09, 2.46768833282e+15, 10491937.0
T0.3_v3000_chi300, 185.008, 2603.741, 13247.68, 1.02188753367e+17, 68806819024.0, 1.02188752942e+17, 0.498534829447, 24.4462084616, 1.05010447005e-08, 7.49753246017e+15, 5585113.0
T0.3_v3000_chi300, 237.057, 2478.92, 14386.467, 1.60915591568e+17, 1460328992.0, 1.60915591535e+17, 1.58582354073, 31.5900629354, 2.89251043117e-08, 5.52817244759e+15, 73005659.4645
T0.3_v3000_chi300, 248.333, 2438.712, 12842.491, 1.14636274276e+17, 779293856.0, 1.14636274215e+17, 0.96193157737, 22.9422169085, 1.20192109598e-08, 5.42716952196e+15, 24302675.3395
T0.3_v3000_chi300, 405.505, 2137.001, 15817.135, 3.44736505873e+16, 827990892.0, 3.44736504289e+16, 0.48066453, 30.9702927745, 5.68543279122e-09, 2.59187489302e+15, 1374408.0
T3_v430_chi3000, 17.444, 79.922, 12184.87, 4.35519966945e+15, 3.15191062403e+14, 4.35519963977e+15, 0.00302167137129, 43.8101568044, 1.01757623439e-05, 3.48630319629e+15, 2767892.0
T3_v430_chi3000, 21.053, 116.518, 12373.72, 3.86918325586e+15, 4.65347897762e+14, 3.86910889247e+15, 0.00190361610811, 30.1591823612, 4.10202099688e-07, 3.31884055924e+15, 2100794.0
T3_v430_chi3000, 31.672, 89.054, 13925.08, 6.8535741657e+15, 4.54921015578e+12, 6.85357412065e+15, 0.0239202234337, 41.0068757401, 2.90121518781e-07, 2.94246955862e+15, 1347051.5
T3_v430_chi3000, 46.764, 68.702, 15478.01, 6.35050706523e+15, 3.42260850038e+13, 6.35050702747e+15, 0.0293217500682, 35.5013556709, 4.48863317594e-06, 2.48874350202e+15, 1027345.0
T3_v860_chi3000, 19.818, 204.607, 11104.039, 8.73347881391e+15, 1.68779399948e+13, 8.73347836541e+15, 0.0101001417397, 47.9270627691, 1.00874088567e-07, 5.2006993557e+15, 3500672.0
T3_v860_chi3000, 33.868, 124.746, 12287.258, 1.05576171415e+16, 5.16274411349e+13, 1.05576168982e+16, 0.0211666828274, 38.793018341, 2.11072246739e-06, 4.77612783371e+15, 2321535.0
T3_v860_chi3000, 60.634, 103.18, 15746.018, 9.52467214998e+15, 4.60215098765e+13, 9.52467213431e+15, 0.0353429734578, 43.5491032667, 6.94714177678e-05, 3.41780580371e+15, 1276630.5
T3_v860_chi3000, 76.089, 104.526, 17234.952, 6.92554196639e+15, 5.50540994765e+12, 6.9255379155e+15, 0.0492216452304, 34.8206139408, 9.06434087719e-08, 2.10452682475e+15, 28753509.0
T1_v3000_chi1000, 126.708, 213.967, 13599.782, 2.26926369255e+17, 1608628416.0, 2.26926369221e+17, 1.99367008655, 21.3252810529, 2.80206737813e-08, 6.78276377515e+15, 214526.303714
T1_v3000_chi1000, 169.041, 223.046, 13875.655, 1.31487881635e+17, 1452163168.0, 1.31487881297e+17, 1.1749811872, 26.3779005344, 2.12938877642e-08, 5.46349391013e+15, 32007268.2569
