Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
T1_v480_chi1000_cond, 7.935, 499.834, 583386.635, 1.53884597347e+14, 3900728.84375, 1.53884336312e+14, 4.71409705857, 6.23311518961, 2.61885488406e-07, 2.9207834014e+12, 399.857031321
T1_v480_chi1000_cond, 16.342, 516.656, 887568.415, 3.81363040146e+13, 550852.132812, 3.81360729369e+13, 11.3867278499, 2.64697247579, 1.32315645551e-05, 5.26279315119e+11, 529.31617759
T0.3_v1700_chi300, 245.566, 1320.356, 355013.016, 2.52364421316e+14, 1.42271582364e+14, 2.5236408003e+14, 0.0207380245487, 40.3941686801, 4.80648707833e-05, 1.15148283364e+14, 56526.25
T0.3_v1700_chi300, 303.336, 1223.921, 358364.86, 3.10383836222e+14, 6.13716038843e+12, 3.10383070507e+14, 0.0324353962091, 36.7911691297, 2.73387464542e-08, 1.16041694619e+14, 45414.578125
T0.3_v1700_chi300, 254.623, 1278.033, 376641.2, 4.13206457925e+14, 113365230122.0, 4.13205378105e+14, 0.0826566004352, 29.4087533246, 2.57272905757e-09, 9.45682576384e+13, 949229.0625
T0.3_v1700_chi300, 346.477, 1190.043, 371937.589, 2.8739803955e+14, 263326693154.0, 2.87397780725e+14, 0.0550733438746, 37.7452355667, 5.59012261689e-08, 8.23206138069e+13, 1058852.39062
T0.3_v3000_chi300, 301.354, 2492.206, 357946.877, 5.31728130947e+14, 97950691302.1, 5.31726145825e+14, 0.0657323744374, 35.9613959391, 1.07320753673e-09, 1.38394531823e+14, 1609103.70312
T0.3_v3000_chi300, 370.801, 2353.356, 357682.631, 5.92834086242e+14, 1.28734468824e+13, 5.92834008677e+14, 0.0671468732095, 41.3814238707, 2.00257800047e-05, 1.52498183865e+14, 1750581.21875
T0.3_v3000_chi300, 400.593, 2294.724, 368055.763, 8.68119422606e+14, 8429337189.62, 8.6811816288e+14, 0.180600743233, 24.2115283777, 3.83928266956e-09, 1.23909112559e+14, 652255.265625
T0.3_v3000_chi300, 535.953, 2011.538, 369038.355, 3.72586981137e+14, 8.35168735183e+13, 3.7258675028e+14, 0.101704754516, 34.0759093694, 2.28219863942e-06, 7.55876847151e+13, 647943.390625
T3_v430_chi3000, 44.455, 422.348, 331112.182, 7.1960337555e+13, 1.11135353901e+13, 7.19532530817e+13, 0.0184922316426, 25.1878695136, 5.30302649467e-08, 3.44132676466e+13, 17839.8945312
T3_v430_chi3000, 54.177, 417.785, 333343.048, 8.61594078524e+13, 226110380082.0, 8.61592065499e+13, 0.0122230574888, 28.5414669524, 3.97241387354e-10, 4.81294993824e+13, 29996.890625
T3_v430_chi3000, 54.954, 462.754, 336683.889, 5.63522533352e+13, 2.77485115395e+13, 5.63500485832e+13, 0.00723938442456, 36.0945456113, 7.32210332078e-06, 3.70874214177e+13, 27963.6875
T3_v430_chi3000, 69.055, 476.017, 337484.955, 6.1382833814e+13, 7.3824675202e+12, 6.13755983346e+13, 0.00661372748763, 25.748176654, 4.23363232102e-08, 4.14060249482e+13, 31995.109375
T3_v860_chi3000, 58.991, 755.763, 337458.459, 7.55125988428e+13, 1.87308615204e+12, 7.55063677182e+13, 0.0191296397878, 27.5059696261, 1.61967665321e-09, 3.56202074789e+13, 18172.96875
T3_v860_chi3000, 63.113, 716.472, 337685.701, 5.75614041146e+13, 1.87221519859e+13, 5.75604562757e+13, 0.00558045113631, 46.7204633292, 8.12752882001e-06, 4.05533842871e+13, 32513.3203125
T3_v860_chi3000, 95.221, 635.321, 337100.004, 8.40366747912e+13, 7.73868173561e+12, 8.40349338022e+13, 0.00493071175376, 34.0382812603, 5.50464648724e-08, 6.0971518586e+13, 49770.40625
T3_v860_chi3000, 109.355, 586.861, 335220.827, 1.01603206314e+14, 5.60638375266e+12, 1.01602765902e+14, 0.00885184063743, 45.5652859924, 2.42163903734e-07, 6.30597443409e+13, 44563.4296875
T1_v3000_chi1000, 218.121, 2572.391, 346153.95, 2.8787278661e+14, 7.22365807217e+13, 2.8787270916e+14, 0.0295632729705, 49.1800783782, 0.000937332787428, 1.12390472297e+14, 46196.09375
T1_v3000_chi1000, 299.839, 2406.434, 343158.238, 3.20138782063e+14, 8.83534546952e+12, 3.20137940917e+14, 0.0286317719171, 35.2045704771, 1.19312038229e-06, 1.26840738743e+14, 53011.484375
T1_v3000_chi1000, 208.69, 2582.04, 336737.986, 7.69921317661e+14, 5623462480.38, 7.69921089153e+14, 0.216977319765, 34.3432975268, 6.88920401282e-09, 9.7758648317e+13, 385576.921875
T1_v3000_chi1000, 344.258, 2302.667, 346161.376, 2.67069952055e+14, 1.85527956595e+13, 2.67069855116e+14, 0.0305875644775, 35.6147463444, 9.0577641183e-06, 1.02634816954e+14, 41438.953125
T10_v1500_chi10000, 57.075, 304.169, 332169.652, 5.41476778922e+13, 1.72044933122e+13, 5.41283666782e+13, 0.00922605992134, 29.5056224002, 3.24180664864e-08, 3.31812211522e+13, 23104.2148438
T10_v1500_chi10000, 80.05, 231.777, 334471.83, 7.7999347386e+13, 2.0762505766e+13, 7.79972658195e+13, 0.00559059049008, 34.6287248797, 2.2960066779e-06, 5.49279456817e+13, 44025.09375
T10_v1500_chi10000, 72.292, 200.161, 331823.796, 9.94176493531e+13, 3.07927694252e+12, 9.94073453766e+13, 0.0202841109014, 30.6560717586, 1.61498771648e-09, 4.57814728685e+13, 22714.0234375
T10_v1500_chi10000, 87.582, 243.247, 333155.024, 7.11023946235e+13, 1.12602255694e+14, 7.10941441552e+13, 0.00958409143962, 35.0278467962, 0.00121635528509, 4.30549218014e+13, 29561.046875
T1_v480_chi1000, 72.747, 415.37, 353810.5, 4.64231860979e+13, 6.20594448793e+12, 4.64013122948e+13, 0.00725981986396, 26.980645046, 4.42849934675e-10, 3.052875979e+13, 22998.2460938
T1_v480_chi1000, 62.626, 413.605, 355942.478, 7.93789419662e+13, 1.1127062524e+14, 7.93785297619e+13, 0.00587154942528, 33.6054679799, 6.03289076048e-05, 5.52226384989e+13, 43849.8125
T1_v480_chi1000, 95.746, 348.489, 343718.02, 9.45510636365e+13, 1.77049397675e+13, 9.454954484e+13, 0.00757398613996, 32.4808240404, 1.32825662923e-07, 6.14411702358e+13, 45707.2734375
T1_v480_chi1000, 121.497, 330.913, 350553.138, 1.08359462227e+14, 5.53663737914e+12, 1.08359350936e+14, 0.00879034163954, 40.6825506035, 9.89129784919e-08, 6.73958921365e+13, 47744.484375
